log10(x) x f_dokl f_obl blad_wzgledny
-6.8899999999999999999 1.2882495516931339628e-07 0.99999999999999917021 0.99999999999999917026 5.4210109e-20
-6.8800000000000000001 1.3182567385564071021e-07 0.99999999999999913112 0.99999999999999913112 0
-6.8699999999999999999 1.3489628825916536092e-07 0.99999999999999909014 0.99999999999999909014 0
-6.8600000000000000001 1.3803842646028848379e-07 0.99999999999999904726 0.99999999999999904731 5.4210109e-20
-6.8499999999999999999 1.4125375446227543022e-07 0.99999999999999900237 0.99999999999999900232 5.4210109e-20
-6.8400000000000000001 1.445439770745927512e-07 0.99999999999999895537 0.99999999999999895537 0
-6.8299999999999999999 1.4791083881682074222e-07 0.99999999999999890609 0.99999999999999890615 5.4210109e-20
-6.8200000000000000002 1.5135612484362081625e-07 0.99999999999999885459 0.99999999999999885454 5.4210109e-20
-6.8099999999999999999 1.5488166189124813447e-07 0.9999999999999988006 0.99999999999999880055 5.4210109e-20
-6.8000000000000000002 1.5848931924611134852e-07 0.99999999999999874406 0.99999999999999874406 0
-6.79 1.6218100973589299729e-07 0.99999999999999868486 0.99999999999999868486 0
